workout_recorder_backup	26.0726.2015

[globals]
sound	countdown	active	anchor	cal_x	cal_y	cal_rr	toe_shoulder	heel_shoulder	arm
yes	yes	mrxu66efkbyjzc	370.8	284	170	23	165	156	60

[workouts]
id	date	name	started_at	finished_at	finished	notes
mri3jvjqk1qnjx	3	2	2	-	-	-	planned	-	-	-
mri3jvjqk1qnjx	3	3	3	-	-	-	planned	-	-	-
mri3jvjqk1qnjx	3	4	4	-	-	-	planned	-	-	-
mrlarx05yucr3x	-	-	9	-	-	-	planned	-	-	-
mrh7jdz4nse4t4	1	1	1	-	-	-	planned	-	-	-
mrh7jdz4nse4t4	1	2	2	-	-	-	planned	-	-	-
mrh7jdz4nse4t4	1	3	3	-	-	-	planned	-	-	-
mrh7jdz4nse4t4	2	1	1	-	-	-	planned	-	-	-
mrh7jdz4nse4t4	2	2	2	-	-	-	planned	-	-	-
mrh7jdz4nse4t4	2	3	3	-	-	-	planned	-	-	-
mrh7jdz4nse4t4	3	1	1	-	-	-	planned	-	-	-
mrh7jdz4nse4t4	3	2	2	-	-	-	planned	-	-	-
mrh7jdz4nse4t4	3	3	3	-	-	-	planned	-	-	-
mrh7jdz44ihvxd	-	-	9	-	-	-	planned	-	-	-
mrh7jdz5aerhq1	1	1	1	-	-	-	planned	-	-	-
mrh7jdz5aerhq1	1	2	2	-	-	-	planned	-	-	-
mrh7jdz5aerhq1	1	3	3	-	-	-	planned	-	-	-
mrh7jdz5aerhq1	2	1	1	-	-	-	planned	-	-	-
mrh7jdz5aerhq1	2	2	2	-	-	-	planned	-	-	-
mrh7jdz5aerhq1	2	3	3	-	-	-	planned	-	-	-
mrh7jdz5aerhq1	3	1	1	-	-	-	planned	-	-	-
mrh7jdz5aerhq1	3	2	2	-	-	-	planned	-	-	-
mrh7jdz5ebwvxv	-	-	6	-	-	-	planned	-	-	-
mrh7jdz5ebwvxv	-	-	6	-	-	-	planned	-	-	-
mrh7jdz5ebwvxv	-	-	6	-	-	-	planned	-	-	-
mrh7jdz5tlphge	-	-	8	-	15	kg	planned	-	-	-
mrh7jdz5tlphge	-	-	12	-	10	kg	planned	-	-	-
mrh7jdz5tlphge	-	-	10	-	10	kg	planned	-	-	-
mrkz56cog3jt5f	-	-	8	-	-	-	planned	-	-	-
mrh7am8i8kc2oz	1	1	1	1	-	-	done_clean	20	-	-
mrh7am8i8kc2oz	1	2	2	2	-	-	done_clean	20	-	-
mrh7am8i8kc2oz	1	3	3	3	-	-	done_clean	150	-	-
mrh7am8i8kc2oz	2	1	1	1	-	-	done_clean	20	-	-
mrh7am8i8kc2oz	2	2	2	2	-	-	done_clean	20	-	-
mrh7am8i8kc2oz	2	3	3	3	-	-	done_clean	150	-	-
mrh7am8i8kc2oz	3	1	1	1	-	-	done_clean	20	-	-
mrh7am8i8kc2oz	3	2	2	2	-	-	done_clean	150	-	-
mrh7am8ia30dra	-	-	8	8	-	-	done_clean	150	-	-
mrh7am8ia30dra	-	-	8	-	-	-	planned	-	-	-
mrh7am8ia30dra	-	-	8	-	-	-	planned	-	-	-
mrh7am8im1umwh	1	1	1	-	-	-	planned	-	-	-
mrh7am8im1umwh	1	2	2	-	-	-	planned	-	-	-
mrh7am8im1umwh	1	3	3	-	-	-	planned	-	-	-
mrh7am8im1umwh	2	1	1	-	-	-	planned	-	-	-
mrh7am8im1umwh	2	2	2	-	-	-	planned	-	-	-
mrh7am8im1umwh	2	3	3	-	-	-	planned	-	-	-
mrh7am8im1umwh	3	1	1	-	-	-	planned	-	-	-
mrh7am8im1umwh	3	2	2	-	-	-	planned	-	-	-
mrh7am8ijp9slr	-	-	6	-	-	-	planned	-	-	-
mrh7am8ijp9slr	-	-	6	-	-	-	planned	-	-	-
mrh7am8ijp9slr	-	-	6	-	-	-	planned	-	-	-
mrh7am8irt23u7	-	-	8	-	15	kg	planned	-	-	-
mrh7am8irt23u7	-	-	12	-	10	kg	planned	-	-	-
mrh7am8irt23u7	-	-	10	-	10	kg	planned	-	-	-
